TESTE COM ARQUIVO GRANDE

-----------Padrão pequeno

#Forca Bruta

Casamento na posicao: 1258987
Casamento na posicao: 1259686
Casamento na posicao: 1267360
Casamento na posicao: 1268372
Casamento na posicao: 1269071
Casamento na posicao: 1276745
Casamento na posicao: 1277757
Casamento na posicao: 1278456
Casamento na posicao: 1286130
Casamento na posicao: 1287142
Casamento na posicao: 1287841
Casamento na posicao: 1295515
Casamento na posicao: 1296527
Casamento na posicao: 1297226
Casamento na posicao: 1301665
Casamento na posicao: 1302677
Casamento na posicao: 1303376
Casamento na posicao: 1311050
Casamento na posicao: 1312062
Casamento na posicao: 1312761
Casamento na posicao: 1320435
Casamento na posicao: 1321447
Casamento na posicao: 1322146
Casamento na posicao: 1329820
Casamento na posicao: 1330832
Casamento na posicao: 1331531
Casamento na posicao: 1339205
Casamento na posicao: 1340217
Casamento na posicao: 1340916
Casamento na posicao: 1348590
Casamento na posicao: 1349602
Casamento na posicao: 1350301
Casamento na posicao: 1357975
Casamento na posicao: 1358987
Casamento na posicao: 1359686
Casamento na posicao: 1367360
Casamento na posicao: 1368372
Casamento na posicao: 1369071
Casamento na posicao: 1376745
Casamento na posicao: 1377757
Casamento na posicao: 1378456
Casamento na posicao: 1386130
Casamento na posicao: 1387142
Casamento na posicao: 1387841
Casamento na posicao: 1395515
Casamento na posicao: 1396527
Casamento na posicao: 1397226
Casamento na posicao: 1401666
Casamento na posicao: 1402678
Casamento na posicao: 1403377
Casamento na posicao: 1411051
Casamento na posicao: 1412063
Casamento na posicao: 1412762
Casamento na posicao: 1420436
Casamento na posicao: 1421448
Casamento na posicao: 1422147
Casamento na posicao: 1429821
Casamento na posicao: 1430833
Casamento na posicao: 1431532
Casamento na posicao: 1439206
Casamento na posicao: 1440218
Casamento na posicao: 1440917
Casamento na posicao: 1448591
Casamento na posicao: 1449603
Casamento na posicao: 1450302
Casamento na posicao: 1457976
Casamento na posicao: 1458988
Casamento na posicao: 1459687
Casamento na posicao: 1467361
Casamento na posicao: 1468373
Casamento na posicao: 1469072
Casamento na posicao: 1476746
Casamento na posicao: 1477758
Casamento na posicao: 1478457
Casamento na posicao: 1486131
Casamento na posicao: 1487143
Casamento na posicao: 1487842
Casamento na posicao: 1495516
Casamento na posicao: 1496528
Casamento na posicao: 1497227
Casamento na posicao: 1501665
Casamento na posicao: 1502677
Casamento na posicao: 1503376
Casamento na posicao: 1511050
Casamento na posicao: 1512062
Casamento na posicao: 1512761
Casamento na posicao: 1520435
Casamento na posicao: 1521447
Casamento na posicao: 1522146
Casamento na posicao: 1529820
Casamento na posicao: 1530832
Casamento na posicao: 1531531
Casamento na posicao: 1539205
Casamento na posicao: 1540217
Casamento na posicao: 1540916
Casamento na posicao: 1548590
Casamento na posicao: 1549602
Casamento na posicao: 1550301
Casamento na posicao: 1557975
Casamento na posicao: 1558987
Casamento na posicao: 1559686
Casamento na posicao: 1567360
Casamento na posicao: 1568372
Casamento na posicao: 1569071
Casamento na posicao: 1576745
Casamento na posicao: 1577757
Casamento na posicao: 1578456
Casamento na posicao: 1586130
Casamento na posicao: 1587142
Casamento na posicao: 1587841
Casamento na posicao: 1595515
Casamento na posicao: 1596527
Casamento na posicao: 1597226
Casamento na posicao: 1601665
Casamento na posicao: 1602677
Casamento na posicao: 1603376
Casamento na posicao: 1611050
Casamento na posicao: 1612062
Casamento na posicao: 1612761
Casamento na posicao: 1620435
Casamento na posicao: 1621447
Casamento na posicao: 1622146
Casamento na posicao: 1629820
Casamento na posicao: 1630832
Casamento na posicao: 1631531
Casamento na posicao: 1639205
Casamento na posicao: 1640217
Casamento na posicao: 1640916
Casamento na posicao: 1648590
Casamento na posicao: 1649602
Casamento na posicao: 1650301
Casamento na posicao: 1657975
Casamento na posicao: 1658987
Casamento na posicao: 1659686
Casamento na posicao: 1667360
Casamento na posicao: 1668372
Casamento na posicao: 1669071
Casamento na posicao: 1676745
Casamento na posicao: 1677757
Casamento na posicao: 1678456
Casamento na posicao: 1686130
Casamento na posicao: 1687142
Casamento na posicao: 1687841
Casamento na posicao: 1695515
Casamento na posicao: 1696527
Casamento na posicao: 1697226
Casamento na posicao: 1701666
Casamento na posicao: 1702678
Casamento na posicao: 1703377
Casamento na posicao: 1711051
Casamento na posicao: 1712063
Casamento na posicao: 1712762
Casamento na posicao: 1720436
Casamento na posicao: 1721448
Casamento na posicao: 1722147
Casamento na posicao: 1729821
Casamento na posicao: 1730833
Casamento na posicao: 1731532
Casamento na posicao: 1739206
Casamento na posicao: 1740218
Casamento na posicao: 1740917
Casamento na posicao: 1748591
Casamento na posicao: 1749603
Casamento na posicao: 1750302
Casamento na posicao: 1757976
Casamento na posicao: 1758988
Casamento na posicao: 1759687
Casamento na posicao: 1767361
Casamento na posicao: 1768373
Casamento na posicao: 1769072
Casamento na posicao: 1776746
Casamento na posicao: 1777758
Casamento na posicao: 1778457
Casamento na posicao: 1786131
Casamento na posicao: 1787143
Casamento na posicao: 1787842
Casamento na posicao: 1795516
Casamento na posicao: 1796528
Casamento na posicao: 1797227
Casamento na posicao: 1801665
Casamento na posicao: 1802677
Casamento na posicao: 1803376
Casamento na posicao: 1811050
Casamento na posicao: 1812062
Casamento na posicao: 1812761
Casamento na posicao: 1820435
Casamento na posicao: 1821447
Casamento na posicao: 1822146
Casamento na posicao: 1829820
Casamento na posicao: 1830832
Casamento na posicao: 1831531
Casamento na posicao: 1839205
Casamento na posicao: 1840217
Casamento na posicao: 1840916
Casamento na posicao: 1848590
Casamento na posicao: 1849602
Casamento na posicao: 1850301
Casamento na posicao: 1857975
Casamento na posicao: 1858987
Casamento na posicao: 1859686
Casamento na posicao: 1867360
Casamento na posicao: 1868372
Casamento na posicao: 1869071
Casamento na posicao: 1876745
Casamento na posicao: 1877757
Casamento na posicao: 1878456
Casamento na posicao: 1886130
Casamento na posicao: 1887142
Casamento na posicao: 1887841
Casamento na posicao: 1895515
Casamento na posicao: 1896527
Casamento na posicao: 1897226
Casamento na posicao: 1901665
Casamento na posicao: 1902677
Casamento na posicao: 1903376
Casamento na posicao: 1911050
Casamento na posicao: 1912062
Casamento na posicao: 1912761
Casamento na posicao: 1920435
Casamento na posicao: 1921447
Casamento na posicao: 1922146
Casamento na posicao: 1929820
Casamento na posicao: 1930832
